Datetime,Username,Text,Clean_Text,Preprocess_Text
2022-06-19 23:56:58+00:00,hildasavanaaa,menjelma jadi kakak beradik #MyLiberationNotes; pp jkt-bekasi 🤧 — met senin y’all.,menjelma jadi kakak beradik pp jktbekasi met senin yall,"['jelma', 'kakak', 'adik', 'pulang pergi', 'jktbekasi', 'met', 'senin', 'yall']"
2022-06-19 23:56:55+00:00,txzyozy,"senin"" hdupku sngad mager",senin hdupku sngad mager,"['senin', 'hdupku', 'sngad', 'mager']"
2022-06-19 23:56:51+00:00,aurum3as,Senin pagi yg mendung https://t.co/niIRUKauKc,senin pagi yg mendung,"['senin', 'pagi', 'mendung']"
2022-06-19 23:56:49+00:00,muktionodimi,Hari senin yang diawali dengan hujan deres banget pol 🥶,hari senin yang diawali dengan hujan deres banget pol,"['senin', 'awal', 'hujan', 'deres', 'banget', 'pol']"
2022-06-19 23:56:47+00:00,b0yyzs_,"@llo4ferere jangan lupa makan, selamat hari Senin 👍🏻",jangan lupa makan selamat hari senin,"['lupa', 'makan', 'selamat', 'senin']"
2022-06-19 23:56:46+00:00,st0beIi,@sayangchildee ASTAGHFIRULLAH SENIN INI,astaghfirullah senin ini,"['astaghfirullah', 'senin']"
2022-06-19 23:56:44+00:00,Marinamyy,"mana bangun tidur kayak oon gitu, ini hari apaa ya? oiya Senin, kan kemarin Final IO 😑",mana bangun tidur kayak oon gitu ini hari apaa ya oiya senin kan kemarin final io,"['bangun', 'tidur', 'kayak', 'oon', 'gitu', 'apaa', 'iya', 'oiya', 'senin', 'kemarin', 'final', 'io']"
2022-06-19 23:56:42+00:00,cleana_0828,"hari senin, awali hari dengan doa. karna setiap doa baik akan membawa kebaikan pula untuk diri sendiri. 
fighting 💜

#ARMY #like4like #FolloMe",hari senin awali hari dengan doa karna setiap doa baik akan membawa kebaikan pula untuk diri sendiri fighting,"['senin', 'awal', 'doa', 'doa', 'bawa', 'baik', 'fighting']"
2022-06-19 23:56:40+00:00,jjaemnanaa_,"@tanyakanrl mw ikut jwb juga, tapi di pagi hari senin ini ak mles mikir nder 🫰🏻",mw ikut jwb juga tapi di pagi hari senin ini ak mles mikir nder,"['now watching', 'pagi', 'senin', 'mles', 'mikir', 'nder']"
2022-06-19 23:56:40+00:00,HayashiHappy,"Udah senin aja, minggu w ngapain sampe gak kerasa minggunya🥲🥲",udah senin aja minggu w ngapain sampe gak kerasa minggunya,"['senin', 'minggu', 'w', 'sedang apa', 'rasa', 'minggu']"
2022-06-19 23:56:39+00:00,0xwinsa,SENIN NGANTOKKK,senin ngantokkk,"['senin', 'ngantokkk']"
2022-06-19 23:56:34+00:00,ryandicare,Selamat pagi dan selamat hari Senin untuk semua target-target ku yang sulit kugapai 👋,selamat pagi dan selamat hari senin untuk semua targettarget ku yang sulit kugapai,"['selamat', 'pagi', 'selamat', 'senin', 'targettarget', 'ku', 'sulit', 'gapai']"
2022-06-19 23:56:33+00:00,ronavioleta,"Bismillah....senin semangat. 
Semangat mencari rezeki Nya yg halal.
Semangat mencari ridho dan ampunan Nya 

Shobahul khoir teman²...
Yuks diorder #KebaLik Kebab Cilik 🌯 Kebab dg cita rasa yg istimewa https://t.co/u30RyghJEs",bismillahsenin semangat semangat mencari rezeki nya yg halalsemangat mencari ridho dan ampunan nya shobahul khoir temanyuks diorder kebab cilik kebab dg cita rasa yg istimewa,"['bismillahsenin', 'semangat', 'semangat', 'cari', 'rezeki', 'nya', 'halalsemangat', 'cari', 'ridho', 'ampun', 'nya', 'shobahul', 'khoir', 'temanyuks', 'order', 'kebab', 'cilik', 'kebab', 'dg', 'cita', 'istimewa']"
2022-06-19 23:56:32+00:00,stypidu,"Padahal ini hari senin ya, pasti jalanan macet TPP GPP kita ttp nyantai 😉",padahal ini hari senin ya pasti jalanan macet tpp gpp kita ttp nyantai,"['senin', 'iya', 'jalan', 'macet', 'tpp', 'tidak apa', 'ttp', 'nyantai']"
2022-06-19 23:56:30+00:00,liaaprillllll,tiada senin pagi tanpa keributan ibuk dan adekku,tiada senin pagi tanpa keributan ibuk dan adekku,"['tiada', 'senin', 'pagi', 'ribut', 'ibuk', 'adekku']"
2022-06-19 23:56:28+00:00,ShanzaTwo,"Kamu itu udh lengkap ,karena itu aku akan menetap....Azzeeeeeekkk 😂

Selamat pagi Senin🤗🤗
@LoveYouMy777 https://t.co/uEB9okm91i",kamu itu udh lengkap karena itu aku akan menetapazzeeeeeekkk selamat pagi senin,"['lengkap', 'menetapazzeeeeeekkk', 'selamat', 'pagi', 'senin']"
2022-06-19 23:56:26+00:00,ndutgenduttt,ini hari senin,ini hari senin,['senin']
2022-06-19 23:56:26+00:00,Akuseru_Reion,"@IzunaYurika masih pagi udah plexing, semoga hari mu senin terus ya :)",masih pagi udah plexing semoga hari mu senin terus ya,"['pagi', 'plexing', 'moga', 'mu', 'senin', 'iya']"
2022-06-19 23:56:26+00:00,Langitra13,"Rutinitas senin pagi 
Rebutan antrian ndek bakul sego 🤣",rutinitas senin pagi rebutan antrian ndek bakul sego,"['rutinitas', 'senin', 'pagi', 'rebut', 'antri', 'ndek', 'bakul', 'sego']"
2022-06-19 23:56:26+00:00,siallaganboys,"hari senin udah di suruh kerja ketinggian aja, hrs pasang scaffolding ini mah 🙄",hari senin udah di suruh kerja ketinggian aja hrs pasang scaffolding ini mah,"['senin', 'suruh', 'kerja', 'tinggi', 'pasang', 'scaffolding', 'mah']"
2022-06-19 23:56:25+00:00,bvlansabit,Tolong jangan ganggu detik detik senin tenang saya sebelum masuk kantor ya,tolong jangan ganggu detik detik senin tenang saya sebelum masuk kantor ya,"['tolong', 'ganggu', 'detik', 'detik', 'senin', 'tenang', 'masuk', 'kantor', 'iya']"
2022-06-19 23:56:23+00:00,Walkinforest2,Baru senin dini hari aja hatiku udah semaput :(,baru senin dini hari aja hatiku udah semaput,"['senin', 'hati', 'semaput']"
2022-06-19 23:56:20+00:00,sekarangdanesok,"Met senin.
Mulai lah hari seninmu dengan melafadzkan basmalah dan berpikir positif bahwa hari ini akan baik-baik saja.",met seninmulai lah hari seninmu dengan melafadzkan basmalah dan berpikir positif bahwa hari ini akan baikbaik saja,"['met', 'seninmulai', 'senin', 'melafadzkan', 'basmalah', 'pikir', 'positif', 'baikbaik']"
2022-06-19 23:56:12+00:00,ancritbg,@alpukki smgt senin,smgt senin,"['smgt', 'senin']"
2022-06-19 23:56:02+00:00,nikidisini_,Pas bangun udah hari senin,pas bangun udah hari senin,"['pas', 'bangun', 'senin']"
2022-06-19 23:56:01+00:00,JayapuraBawaslu,"Selamat pagi #SahabatBawaslu ,
Selamat beraktifitas di minggu baru ini. 
Tetap semangat :) 

- Apel pagi Bawaslu Kabupaten Jayapura, Senin (20/06/2022) -

#Bawaslu #BawasluKabupatenJayapura #apelpagi https://t.co/XxRCM6jV3U",selamat pagi selamat beraktifitas di minggu baru ini tetap semangat apel pagi bawaslu kabupaten jayapura senin,"['selamat', 'pagi', 'selamat', 'beraktifitas', 'minggu', 'semangat', 'apel', 'pagi', 'bawaslu', 'kabupaten', 'jayapura', 'senin']"
2022-06-19 23:56:00+00:00,kumisaster,UWOOOOGHHHHH selamat hari senin! 💜⭐,uwooooghhhhh selamat hari senin,"['uwooooghhhhh', 'selamat', 'senin']"
2022-06-19 23:55:59+00:00,Davjosua,"Kebiasan org ya, meeting hri sabtu, revisi ini itu dia minta senin udh selesai.

nah revisian lgsng selesai malem di hari yg sama dan upload di drive, link udh di share.

Pagi2 ini dia nanya lagi, ditunggu hasil revisinya. 

Hello my friend bisa ga cek dulu isinya !? :)",kebiasan org ya meeting hri sabtu revisi ini itu dia minta senin udh selesainah revisian lgsng selesai malem di hari yg sama dan upload di drive link udh di sharepagi ini dia nanya lagi ditunggu hasil revisinya hello my friend bisa ga cek dulu isinya,"['bias', 'orang', 'iya', 'meeting', 'hri', 'sabtu', 'revisi', 'senin', 'selesainah', 'revisi', 'lgsng', 'selesai', 'malam', 'upload', 'drive', 'link', 'sharepagi', 'tunggu', 'hasil', 'revisi', 'hello', 'my', 'friend', 'ga', 'cek', 'isi']"
2022-06-19 23:55:52+00:00,Marinamyy,CEPET AMAT DAH SENIN LAGI?!,cepet amat dah senin lagi,"['cepat', 'deh', 'senin']"
2022-06-19 23:55:51+00:00,andrn__,udah senin lagi aja 🥲,udah senin lagi aja,['senin']
2022-06-19 23:55:46+00:00,aryachieve,@uridreamis Met senin liburannn,met senin liburannn,"['met', 'senin', 'liburannn']"
2022-06-19 23:55:46+00:00,alphabhed,anj udh hari senin aja,anj udh hari senin aja,"['anj', 'senin']"
2022-06-19 23:55:43+00:00,itsdetiarifn,Semangat senin semuaaaa!!,semangat senin semuaaaa,"['semangat', 'senin', 'semuaaaa']"
2022-06-19 23:55:35+00:00,sherziyn,"@rajekiachy ini hari senin,semangat!",ini hari seninsemangat,['seninsemangat']
